"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230901","8호선","석촌","8717","10257","20230904",""
"20230901","8호선","송파","10608","10097","20230904",""
"20230901","8호선","가락시장","8858","9967","20230904",""
"20230901","8호선","문정","23576","24374","20230904",""
"20230901","8호선","장지","19342","17388","20230904",""
"20230901","8호선","복정","10883","8968","20230904",""
"20230901","8호선","산성","5912","5767","20230904",""
"20230901","8호선","남한산성입구(성남법원.검찰청)","16074","14279","20230904",""
"20230901","8호선","단대오거리","13852","13013","20230904",""
"20230901","8호선","신흥","5850","6080","20230904",""
"20230901","8호선","수진","6292","5647","20230904",""
"20230901","8호선","모란","5265","4252","20230904",""
"20230901","8호선","남위례","7880","7996","20230904",""
"20230901","9호선","개화","3248","2101","20230904",""
"20230901","9호선","김포공항","7458","10458","20230904",""
"20230901","9호선","공항시장","3415","3511","20230904",""
"20230901","9호선","신방화","7900","7632","20230904",""
"20230901","9호선","마곡나루(서울식물원)","14863","14747","20230904",""
"20230901","9호선","양천향교","11474","11457","20230904",""
"20230901","9호선","가양","25142","24019","20230904",""
"20230901","9호선","증미","8852","8380","20230904",""
"20230901","9호선","염창","19970","19069","20230904",""
"20230901","9호선","신목동","4927","4208","20230904",""
"20230901","9호선","선유도","10009","9350","20230904",""
"20230901","9호선","당산","21939","21800","20230904",""
"20230901","9호선","국회의사당","20289","20976","20230904",""
"20230901","9호선","여의도","33065","31960","20230904",""
"20230901","9호선","샛강","7344","7339","20230904",""
"20230901","9호선","노량진","29082","28170","20230904",""
"20230901","9호선","노들","5475","4393","20230904",""
"20230901","9호선","흑석(중앙대입구)","11310","11268","20230904",""
"20230901","9호선","동작(현충원)","2297","1789","20230904",""
"20230901","9호선","구반포","1236","1316","20230904",""
"20230901","9호선","신반포","4524","4563","20230904",""
"20230901","9호선","고속터미널","17237","23837","20230904",""
"20230901","9호선","사평","4681","4421","20230904",""
"20230901","9호선","신논현","35381","35336","20230904",""
"20230901","9호선2~3단계","언주","12991","12980","20230904",""
"20230901","9호선2~3단계","선정릉","11251","11910","20230904",""
"20230901","9호선2~3단계","삼성중앙","9314","9351","20230904",""
"20230901","9호선2~3단계","봉은사","22991","23545","20230904",""
"20230901","9호선2~3단계","종합운동장","5324","5492","20230904",""
"20230901","9호선2~3단계","삼전","8362","7689","20230904",""
"20230901","9호선2~3단계","석촌고분","7720","7363","20230904",""
"20230901","9호선2~3단계","석촌","10267","9238","20230904",""
"20230901","9호선2~3단계","송파나루","6014","6620","20230904",""
"20230901","9호선2~3단계","한성백제","3172","2744","20230904",""
"20230901","9호선2~3단계","올림픽공원(한국체대)","7487","7373","20230904",""
"20230901","9호선2~3단계","둔촌오륜","1307","1201","20230904",""
"20230901","9호선2~3단계","중앙보훈병원","13456","11628","20230904",""
"20230901","경강선","판교","6500","6488","20230904",""
"20230901","경강선","이매","1408","1225","20230904",""
"20230901","경강선","삼동","2859","2572","20230904",""
"20230901","경강선","경기광주","9106","8359","20230904",""
"20230901","경강선","초월","3987","3629","20230904",""
"20230901","경강선","곤지암","2578","2505","20230904",""
"20230901","경강선","신둔도예촌","1689","1558","20230904",""
"20230901","경강선","이천","3240","3564","20230904",""
"20230901","경강선","부발","2924","2427","20230904",""
"20230901","경강선","세종대왕릉","406","393","20230904",""
"20230901","경강선","여주","2959","3040","20230904",""
"20230901","경부선","서울역","10610","3713","20230904",""
"20230901","경부선","남영","11351","11734","20230904",""
"20230901","경부선","용산","46798","47058","20230904",""
"20230901","경부선","노량진","9606","9574","20230904",""
"20230901","경부선","대방","11918","12994","20230904",""
"20230901","경부선","영등포","45346","47573","20230904",""
"20230901","경부선","신도림","4224","4539","20230904",""
"20230901","경부선","신길","9860","8411","20230904",""
"20230901","경부선","구로","19121","19664","20230904",""
"20230901","경부선","가산디지털단지","18829","21365","20230904",""
"20230901","경부선","금천구청","12449","12783","20230904",""
"20230901","경부선","석수","10289","9044","20230904",""
"20230901","경부선","관악","8401","7798","20230904",""
"20230901","경부선","안양","28026","28227","20230904",""
"20230901","경부선","명학","9915","9615","20230904",""
"20230901","경부선","금정","31377","31753","20230904",""
"20230901","경부선","군포","8234","7907","20230904",""
"20230901","경부선","의왕","10064","9731","20230904",""
"20230901","경부선","성균관대","17506","17002","20230904",""
"20230901","경부선","화서","9457","8904","20230904",""
"20230901","경부선","수원","41684","45481","20230904",""
"20230901","경부선","독산","20103","20464","20230904",""
"20230901","경부선","세류","3782","3413","20230904",""
"20230901","경부선","병점","17760","17866","20230904",""
"20230901","경부선","세마","3475","3230","20230904",""
"20230901","경부선","오산대","4335","3937","20230904",""
"20230901","경부선","오산","11494","11379","20230904",""
"20230901","경부선","진위","2088","1710","20230904",""
"20230901","경부선","송탄","5890","5027","20230904",""
"20230901","경부선","서정리","10791","8627","20230904",""
"20230901","경부선","평택지제","5272","5222","20230904",""
"20230901","경부선","평택","16222","15388","20230904",""
"20230901","경부선","성환","5708","5000","20230904",""
"20230901","경부선","직산","1084","983","20230904",""
"20230901","경부선","두정","9221","8319","20230904",""
"20230901","경부선","천안","7771","7614","20230904",""
"20230901","경부선","당정","7302","6656","20230904",""
"20230901","경부선","서동탄","1659","1489","20230904",""
"20230901","경부선","광명","4552","4041","20230904",""
"20230901","경원선","이촌(국립중앙박물관)","4589","3582","20230904",""
"20230901","경원선","서빙고","2481","2255","20230904",""
"20230901","경원선","한남","4726","4625","20230904",""
"20230901","경원선","옥수","73","38","20230904",""
"20230901","경원선","응봉","2223","1883","20230904",""
"20230901","경원선","왕십리(성동구청)","18937","19336","20230904",""
"20230901","경원선","청량리(서울시립대입구)","19757","20753","20230904",""
"20230901","경원선","외대앞","11582","11290","20230904",""
"20230901","경원선","신이문","9248","8414","20230904",""
"20230901","경원선","석계","8530","9697","20230904",""
"20230901","경원선","광운대","10996","10643","20230904",""
"20230901","경원선","월계","8153","7540","20230904",""
"20230901","경원선","녹천","5091","4160","20230904",""
"20230901","경원선","방학","10833","10440","20230904",""
"20230901","경원선","도봉","6643","6246","20230904",""
"20230901","경원선","도봉산","8298","5311","20230904",""
"20230901","경원선","망월사","9007","9014","20230904",""
"20230901","경원선","회룡","14287","14096","20230904",""
"20230901","경원선","의정부","20274","21326","20230904",""
"20230901","경원선","가능","7243","7136","20230904",""
"20230901","경원선","녹양","5015","4833","20230904",""
"20230901","경원선","양주","8445","8221","20230904",""
"20230901","경원선","덕계","5221","4570","20230904",""
"20230901","경원선","덕정","6760","6218","20230904",""
"20230901","경원선","지행","7602","7699","20230904",""
"20230901","경원선","동두천중앙","3340","3243","20230904",""
"20230901","경원선","보산","2321","1842","20230904",""
"20230901","경원선","동두천","2745","3003","20230904",""
"20230901","경원선","소요산","2915","2652","20230904",""
"20230901","경의선","서울역","5436","6701","20230904",""
"20230901","경의선","신촌","1084","1522","20230904",""
"20230901","경의선","효창공원앞","3702","4003","20230904",""
"20230901","경의선","공덕","4460","3751","20230904",""
"20230901","경의선","서강대","2765","2678","20230904",""
"20230901","경의선","홍대입구","2331","2971","20230904",""
"20230901","경의선","가좌","6575","6307","20230904",""
"20230901","경의선","디지털미디어시티","3310","2971","20230904",""
"20230901","경의선","수색","3454","3463","20230904",""
"20230901","경의선","화전","3050","2737","20230904",""
"20230901","경의선","강매","3653","3069","20230904",""
"20230901","경의선","행신","9872","9858","20230904",""
"20230901","경의선","능곡","5571","5103","20230904",""
"20230901","경의선","곡산","721","794","20230904",""
"20230901","경의선","백마","8442","8075","20230904",""
"20230901","경의선","풍산","6677","6436","20230904",""
"20230901","경의선","일산","12377","12060","20230904",""
"20230901","경의선","탄현","8978","8714","20230904",""
"20230901","경의선","야당","9697","10299","20230904",""
"20230901","경의선","운정","8488","7876","20230904",""
"20230901","경의선","금릉","6200","5996","20230904",""
"20230901","경의선","금촌","7983","7872","20230904",""
"20230901","경의선","월롱","3027","2138","20230904",""
"20230901","경의선","파주","1402","983","20230904",""
"20230901","경의선","문산","6218","6018","20230904",""
"20230901","경의선","임진강","21","88","20230904",""
"20230901","경의선","운천","6","3","20230904",""
"20230901","경인선","개봉","24018","23439","20230904",""
"20230901","경인선","오류동","12607","11644","20230904",""
"20230901","경인선","역곡","31293","30613","20230904",""
"20230901","경인선","부천","35261","35850","20230904",""
"20230901","경인선","송내","30016","29898","20230904",""
"20230901","경인선","부평","31575","35284","20230904",""
"20230901","경인선","백운","8133","7781","20230904",""
"20230901","경인선","동암","17617","17773","20230904",""
"20230901","경인선","주안","21796","19279","20230904",""
"20230901","경인선","제물포","12013","11457","20230904",""
"20230901","경인선","동인천","15899","14931","20230904",""
"20230901","경인선","인천","4464","3293","20230904",""
"20230901","경인선","구일","9134","9291","20230904",""
"20230901","경인선","소사","8692","8302","20230904",""
"20230901","경인선","부개","9932","9223","20230904",""
"20230901","경인선","간석","6764","6249","20230904",""
"20230901","경인선","도원","3664","3768","20230904",""
"20230901","경인선","온수(성공회대입구)","7343","6808","20230904",""
"20230901","경인선","중동","10281","9640","20230904",""
"20230901","경인선","도화","4682","4160","20230904",""
"20230901","경춘선","신내","2610","2411","20230904",""
"20230901","경춘선","갈매","3689","3219","20230904",""
"20230901","경춘선","별내","3697","3506","20230904",""
"20230901","경춘선","퇴계원","4085","3735","20230904",""
"20230901","경춘선","사릉","2625","2557","20230904",""
"20230901","경춘선","금곡","1734","1641","20230904",""
"20230901","경춘선","평내호평","7383","7370","20230904",""
"20230901","경춘선","천마산","1723","1618","20230904",""
"20230901","경춘선","마석","4398","4361","20230904",""
"20230901","경춘선","대성리","629","1492","20230904",""
"20230901","경춘선","청평","1942","2196","20230904",""
"20230901","경춘선","상천","310","303","20230904",""
"20230901","경춘선","가평","2167","2579","20230904",""
"20230901","경춘선","굴봉산","126","148","20230904",""
"20230901","경춘선","백양리","123","157","20230904",""
"20230901","경춘선","강촌","404","501","20230904",""
"20230901","경춘선","김유정","392","441","20230904",""
"20230901","경춘선","남춘천","3538","3288","20230904",""
"20230901","경춘선","춘천","2198","1458","20230904",""
"20230901","공항철도 1호선","서울역","15498","13257","20230904",""
"20230901","공항철도 1호선","공덕","3029","4099","20230904",""
"20230901","공항철도 1호선","홍대입구","14656","15425","20230904",""
"20230901","공항철도 1호선","디지털미디어시티","16131","14797","20230904",""
"20230901","공항철도 1호선","마곡나루(서울식물원)","11931","10864","20230904",""
"20230901","공항철도 1호선","김포공항","11539","5976","20230904",""
"20230901","공항철도 1호선","계양","14597","13672","20230904",""
"20230901","공항철도 1호선","검암","7756","7909","20230904",""
"20230901","공항철도 1호선","청라국제도시","8295","7988","20230904",""
"20230901","공항철도 1호선","운서","10024","10397","20230904",""
"20230901","공항철도 1호선","공항화물청사","2457","2552","20230904",""
"20230901","공항철도 1호선","인천공항1터미널","14548","13008","20230904",""
"20230901","공항철도 1호선","인천공항2터미널","6912","5615","20230904",""
"20230901","공항철도 1호선","영종","4409","4635","20230904",""
"20230901","과천선","선바위","9324","7932","20230904",""
"20230901","과천선","경마공원","7919","8149","20230904",""
"20230901","과천선","대공원","3209","3380","20230904",""
"20230901","과천선","과천","7349","6678","20230904",""
"20230901","과천선","정부과천청사","12935","13278","20230904",""
"20230901","과천선","인덕원","28096","28497","20230904",""
"20230901","과천선","평촌","20312","19710","20230904",""
"20230901","과천선","범계","30080","30876","20230904",""
"20230901","분당선","선릉","14901","22774","20230904",""
"20230901","분당선","한티","18094","19218","20230904",""
"20230901","분당선","도곡","8892","8450","20230904",""
"20230901","분당선","구룡","3228","2906","20230904",""
"20230901","분당선","개포동","5721","5823","20230904",""
"20230901","분당선","대모산입구","6808","6304","20230904",""
"20230901","분당선","수서","17512","17876","20230904",""
"20230901","분당선","복정","1","0","20230904",""
"20230901","분당선","수원","9446","8622","20230904",""
"20230901","분당선","서울숲","14030","14344","20230904",""
"20230901","분당선","압구정로데오","23185","26926","20230904",""
"20230901","분당선","강남구청","11324","12735","20230904",""
"20230901","분당선","선정릉","8955","9420","20230904",""
"20230901","분당선","가천대","12499","12583","20230904",""
"20230901","분당선","태평","14824","14092","20230904",""
"20230901","분당선","모란","22227","22958","20230904",""
"20230901","분당선","야탑","28596","30325","20230904",""
"20230901","분당선","서현","27065","27782","20230904",""
"20230901","분당선","수내","15698","15780","20230904",""
"20230901","분당선","정자","20899","21989","20230904",""
"20230901","분당선","미금","16933","17853","20230904",""
"20230901","분당선","오리","12903","10709","20230904",""
"20230901","분당선","이매","6740","6132","20230904",""
"20230901","분당선","보정","3132","2739","20230904",""
"20230901","분당선","죽전","16194","17415","20230904",""
"20230901","분당선","구성","5742","5887","20230904",""
"20230901","분당선","신갈","5474","5324","20230904",""
"20230901","분당선","기흥","11950","11257","20230904",""
"20230901","분당선","상갈","6330","6009","20230904",""
"20230901","분당선","청명","5461","5072","20230904",""
"20230901","분당선","영통","10739","10684","20230904",""
"20230901","분당선","망포","18009","16951","20230904",""
"20230901","분당선","매탄권선","6424","6041","20230904",""
"20230901","분당선","수원시청","14876","17544","20230904",""
"20230901","분당선","매교","5796","5602","20230904",""
"20230901","서해선","김포공항","2852","3432","20230904",""
"20230901","서해선","원종","4387","4507","20230904",""
"20230901","서해선","부천종합운동장","2581","1972","20230904",""
"20230901","수인선","고색","6090","5560","20230904",""
"20230901","수인선","오목천","5378","4383","20230904",""
"20230901","수인선","어천","1397","1272","20230904",""
"20230901","수인선","야목","505","385","20230904",""
"20230901","수인선","사리","5893","5003","20230904",""
"20230901","수인선","달월","109","66","20230904",""
"20230901","수인선","월곶","3110","2881","20230904",""
"20230901","수인선","소래포구","6550","6381","20230904",""
"20230901","수인선","인천논현","6450","7157","20230904",""
"20230901","수인선","호구포","4756","4691","20230904",""
"20230901","수인선","남동인더스파크","2455","2799","20230904",""
"20230901","수인선","원인재","5139","5461","20230904",""
"20230901","수인선","연수","5423","5422","20230904",""
"20230901","수인선","송도","2873","2530","20230904",""
"20230901","수인선","인하대","8542","7627","20230904",""
"20230901","수인선","숭의","4518","4184","20230904",""
"20230901","수인선","신포","2113","2201","20230904",""
"20230901","수인선","인천","1166","1863","20230904",""
"20230901","신림선","샛강","3186","3648","20230904",""
"20230901","신림선","대방","3216","2275","20230904",""
"20230901","신림선","서울지방병무청","3390","3488","20230904",""
"20230901","안산선","한대앞","11358","11303","20230904",""
"20230901","안산선","고잔","9893","9443","20230904",""
"20230901","안산선","초지","5840","6062","20230904",""
"20230901","안산선","안산","12951","12063","20230904",""
"20230901","안산선","신길온천","2225","2122","20230904",""
"20230901","안산선","정왕","11793","11627","20230904",""
"20230901","안산선","오이도","9318","9605","20230904",""
"20230901","안산선","수리산","4829","3853","20230904",""
"20230901","우이신설선","북한산우이","3275","3026","20230904",""
"20230901","우이신설선","솔밭공원","2997","2782","20230904",""
"20230901","우이신설선","4.19민주묘지","3926","3667","20230904",""
"20230901","우이신설선","가오리","4897","4817","20230904",""
"20230901","우이신설선","화계","4056","3799","20230904",""
"20230901","우이신설선","삼양","2296","2353","20230904",""
"20230901","우이신설선","삼양사거리","2922","2847","20230904",""
"20230901","우이신설선","솔샘","6846","6362","20230904",""
"20230901","우이신설선","북한산보국문","7119","6694","20230904",""
