ID,AvgTix,Rating,Tardies,Graveyards,Weekends,SickDays,PercSickOnFri,EmployeeDevHrs,ShiftSwapsReq,ShiftSwapsOffered
144624,151.8,3.32,1,0,2,3,0.00,0,2,1
142619,155.2,3.16,1,3,1,1,0.00,12,1,2
142285,164.2,4.00,3,3,1,0,0.00,23,2,0
142158,159,2.77,0,3,1,2,0.50,13,1,0
141008,155.5,3.52,4,1,0,3,0.67,16,1,0
145082,153.8,3.90,3,2,1,3,1.00,5,1,0
139410,162.1,3.45,3,3,1,3,0.00,13,2,1
135014,154,3.67,0,3,1,1,0.00,18,1,2
139356,157.5,3.40,0,1,1,4,0.25,14,0,3
137368,160.8,3.30,1,3,1,0,0.00,33,2,4
141982,157.3,3.85,2,3,1,2,0.00,8,1,2
144753,164.1,2.75,1,2,0,0,0.00,5,0,2
132229,152.9,3.77,1,1,1,3,0.67,19,2,2
132744,158,2.74,1,2,0,0,0.00,8,0,0
131177,154.8,3.21,1,1,2,0,0.00,14,2,3
140074,153.3,3.13,1,3,1,0,0.00,18,1,3
135633,159.7,3.45,3,2,2,4,0.00,10,0,0
139582,155.7,3.19,2,2,1,5,0.00,9,1,0
135197,160.7,4.43,2,4,1,2,0.00,6,1,3
131975,143.1,4.37,0,3,1,3,0.33,0,2,3
142782,150.2,4.33,1,1,1,0,0.00,0,3,0
139071,151.5,3.43,1,1,2,0,0.00,4,2,3
144270,154.2,3.82,1,2,1,0,0.00,0,1,0
133358,157.8,2.80,2,3,2,7,0.43,0,3,3
134858,157.1,3.18,1,2,0,6,0.17,2,2,2
137434,152.5,4.42,1,2,2,2,0.50,9,0,0
135673,152.5,3.65,2,2,1,0,0.00,6,2,4
133639,156.7,4.22,1,1,2,0,0.00,4,1,4
139089,151.2,3.56,1,1,1,2,0.50,20,2,1
131303,161.7,3.46,2,2,1,3,0.67,9,1,3
135743,152.2,3.96,3,1,1,2,0.00,16,2,2
144571,157,3.59,2,3,1,1,1.00,12,1,2
145158,158.5,3.69,1,2,0,0,0.00,18,1,0
136077,156,3.71,3,1,1,2,0.50,34,0,2
136372,156.7,3.39,0,2,1,2,0.50,22,1,0
137095,161,3.14,3,3,0,1,0.00,1,3,6
131832,155.1,2.28,2,1,1,0,0.00,6,2,3
138338,149.4,3.41,2,1,1,2,0.50,13,0,0
136542,161.5,3.05,1,2,0,5,0.20,17,2,1
137903,154.2,3.37,0,4,2,4,1.00,6,3,3
143210,158.8,4.24,2,3,1,3,0.00,26,2,0
131617,157.5,3.35,2,3,1,4,0.25,3,3,2
137184,161.5,2.95,2,2,1,2,0.50,18,1,0
137322,158.4,3.67,2,1,1,3,0.67,4,1,0
141947,153,3.50,1,2,1,0,0.00,16,0,3
142425,155.8,3.75,1,3,0,1,0.00,7,0,0
138392,163.8,3.87,0,0,1,2,0.50,11,1,1
138787,152.5,3.48,2,1,1,1,1.00,0,1,3
136397,151.8,3.13,1,3,1,0,0.00,0,3,4
141411,152.9,3.24,1,2,1,5,0.00,16,0,0
140317,159.1,3.52,1,1,1,1,0.00,19,2,2
132864,150.5,3.89,2,0,1,0,0.00,20,1,1
142597,156.8,3.58,1,2,1,2,0.50,8,1,5
130880,153.2,3.84,1,3,1,1,0.00,24,2,0
138054,161.6,3.75,1,2,1,3,0.00,0,1,3
136255,150.4,3.86,3,2,1,3,1.00,12,2,2
139885,156.4,3.44,1,2,2,0,0.00,8,1,2
140542,153.8,3.73,4,2,0,0,0.00,9,2,0
142028,156.1,3.19,2,2,2,4,0.50,9,2,8
133101,156.9,3.61,2,2,1,0,0.00,7,2,0
136811,156.1,3.36,1,3,1,2,1.00,1,1,4
137347,161,3.56,4,2,0,1,1.00,1,1,4
137988,153.7,3.42,0,2,0,3,1.00,23,2,1
132269,158.3,4.23,0,1,1,3,0.67,0,3,1
132991,153.9,3.61,2,3,1,0,0.00,4,2,2
144185,148.2,3.30,2,2,1,0,0.00,10,0,3
131108,155.3,3.59,1,2,1,3,1.00,17,0,0
140803,155.2,3.32,1,2,2,1,0.00,4,0,0
131321,152,2.77,3,2,1,5,0.80,3,1,0
135100,159.1,2.91,2,2,1,3,0.33,20,1,2
135864,165,3.19,1,2,1,2,1.00,15,0,0
141882,156.8,3.49,0,2,2,2,1.00,8,2,3
142556,158.7,3.86,0,2,1,3,0.33,16,1,6
139686,157.6,3.38,0,2,0,1,0.00,6,1,1
144464,150.1,3.81,2,2,1,0,0.00,6,0,1
134943,153.7,4.39,4,2,1,3,0.33,0,1,0
132494,156.1,3.09,0,1,0,0,0.00,18,2,2
133559,155.3,3.09,1,2,1,0,0.00,7,2,3
138557,162,3.49,4,3,0,0,0.00,13,1,2
144328,162.1,3.41,4,2,1,0,0.00,20,1,1
137581,150.1,3.24,1,1,1,2,0.50,0,1,1
138488,156.8,3.31,2,2,1,0,0.00,0,2,1
140043,154.4,3.36,0,3,1,0,0.00,8,1,1
138557,165,4.11,2,2,1,2,0.50,30,0,2
133993,148.1,3.42,3,2,2,0,0.00,17,0,1
140464,157.6,3.97,2,3,1,2,1.00,10,2,1
138875,161,3.48,1,1,1,2,0.50,11,1,0
131667,155.9,3.64,1,0,1,1,0.00,15,3,7
132658,156.7,3.42,1,2,1,4,0.75,11,0,1
138993,150.9,3.67,2,1,1,2,0.00,6,2,2
136133,162.5,3.81,1,3,0,1,0.00,14,2,4
142541,157.4,3.74,0,3,1,4,0.50,8,3,6
142310,150.3,3.99,1,2,1,0,0.00,11,1,3
132833,149.8,4.51,3,2,1,6,1.00,16,0,0
131243,152.9,4.80,2,3,0,1,0.00,15,2,0
134833,154.4,3.62,3,3,0,0,0.00,14,0,1
140712,150.5,3.44,2,2,1,5,0.20,0,1,0
141905,161.1,2.07,1,2,0,4,0.50,8,2,0
136214,163.2,3.85,2,2,1,0,0.00,15,1,1
131200,161.3,3.67,3,2,1,2,0.50,12,0,3
142114,161.9,3.54,2,2,1,2,0.00,19,0,0
144696,154.6,4.21,4,1,1,0,0.00,22,0,0
135862,161.4,3.59,1,1,0,1,0.00,6,1,2
135258,150.5,3.33,1,2,1,4,0.50,14,3,1
131652,151.4,3.12,1,3,1,2,0.50,13,2,1
139267,157.6,3.56,1,1,1,0,0.00,9,1,0
139148,157.1,3.77,1,2,1,3,0.67,8,1,4
138378,157,3.95,1,2,1,1,0.00,13,1,6
135400,154.5,3.65,2,3,1,1,1.00,19,2,2
131072,158.5,3.99,0,2,0,1,0.00,17,3,0
131478,155.2,3.42,2,1,0,0,0.00,19,0,0
140643,159.3,3.51,1,3,1,1,0.00,22,1,1
143040,162.4,3.59,3,3,1,1,0.00,29,0,0
137232,159.3,3.55,1,2,1,3,0.33,21,1,0
140864,156.9,3.18,1,3,2,4,0.75,5,1,3
143159,156.6,2.87,2,3,1,3,0.33,15,2,0
139294,153.8,4.33,0,2,1,0,0.00,14,1,0
132524,154.1,3.76,1,2,1,3,0.67,21,2,3
135149,151,2.82,2,2,1,3,0.33,16,3,3
131443,150.7,3.94,1,2,1,1,1.00,12,0,0
133489,157.1,2.63,1,3,0,0,0.00,24,2,0
131417,153.5,3.91,2,1,1,1,0.00,12,2,6
131969,153.9,3.44,0,2,1,2,0.50,0,2,3
143213,154.9,3.39,2,1,1,3,0.33,6,1,2
131010,151.2,2.90,3,1,1,0,0.00,10,1,2
138731,160.6,3.21,0,2,1,1,0.00,1,0,1
133851,155.5,4.66,1,2,1,3,0.33,7,1,2
136956,157.9,4.04,1,3,1,0,0.00,9,0,2
132990,159.4,3.69,0,2,0,2,0.00,21,3,8
135794,154.7,3.88,1,3,0,1,1.00,13,2,3
138109,158.4,3.53,1,2,1,0,0.00,6,1,0
143999,161.4,2.88,2,3,1,2,0.50,0,1,0
137501,156.7,3.95,0,1,1,5,0.40,18,1,4
133236,157.7,3.86,0,1,2,2,0.50,13,3,5
133193,152.4,2.47,1,4,1,2,0.00,13,1,0
139915,156.7,4.07,1,2,1,1,1.00,7,3,1
143242,145.5,3.16,0,2,1,2,0.50,11,3,3
133765,154.1,3.31,3,2,1,2,0.50,10,2,3
134271,154.8,2.95,2,1,1,1,1.00,15,3,0
142545,153.8,2.72,0,3,1,1,1.00,2,1,0
135044,148.5,2.62,1,2,1,1,1.00,10,3,2
140438,150.7,3.15,1,2,1,1,1.00,17,2,2
132529,161.9,3.61,3,3,0,4,0.50,5,0,3
141524,155.1,3.28,3,1,1,3,0.33,27,2,3
134654,152.7,3.09,2,2,1,3,0.00,4,1,0
143197,152.7,2.29,3,2,1,3,0.00,18,1,5
134462,153.1,3.46,2,2,1,1,0.00,20,2,1
