day,weight
1,43
2,55
3,69
4,86
5,104
6,124
7,147
8,172
9,200
10,229
11,262
12,297
13,334
14,374
15,417
16,463
17,510
18,560
19,613
20,667
21,723
22,782
23,843
24,906
25,970
26,1036
27,1103
28,1172
29,1242
30,1313
31,1384
32,1457
33,1531
34,1605
35,1684
36,1764
37,1839
38,1914
39,1990
40,2065
41,2140
42,2215
43,2289
44,2363
45,2438
46,2510
47,2583
48,2654
49,2725
50,2795
51,2855
52,2910
53,2960
54,3005
55,3045
56,3080
57,3110
58,3135
59,3155
60,3170
61,3184
62,3197
63,3209
64,3220
65,3230
66,3239
67,3247
68,3254
69,3260
70,3265
