Client ID,Client Type,Number of Customers,Montly Target,Zip Code,Calendardate,Amount Collected,Unit Sold,Campaign (Email),Campaign (Flyer),Campaign (Phone),Sales Contact 1,Sales Contact 2,Sales Contact 3,Sales Contact 4,Sales Contact 5,Number of Competition
ID-987275,Medium Facility,2800,125,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-02-2014,3409460,24,0,0,0,0,0,0,0,322500,Low
ID-987275,Medium Facility,2800,125,1003,18-03-2014,10228384,75,0,0,0,0,0,0,0,0,Low
ID-987275,Medium Facility,2800,125,1003,18-04-2014,17047304,123,0,0,0,0,3547500,1.29E+06,0,0,Low
ID-987275,Medium Facility,2800,125,1003,19-05-2014,23866224,171,0,0,0,0,0,0,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-06-2014,27275684,198,0,0,0,0,4515000,322500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,17-07-2014,17047304,123,0,0,0,0,4515000,2.58E+06,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-08-2014,17047304,123,0,696213,0,0,3547500,3547500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-09-2014,17047304,123,383800.8,1290412.8,0,0,2.58E+06,4192500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-10-2014,27275684,198,0,664917.6,0,0,2.58E+06,4515000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-11-2014,17047304,123,0,8414244.3,0,0,1935000,3225000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,17-12-2014,17047304,123,0,461931.8,0,0,1612500,4515000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-01-2015,13637844,99,0,805230.9,0,0,1.29E+06,8062500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-02-2015,17047304,123,0,458380,0,0,1935000,4837500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,18-03-2015,27275684,198,0,0,0,0,1612500,5805000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,18-04-2015,23866224,171,0,656661.6,0,0,1935000,5482500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,19-05-2015,13637844,99,0,688000,0,0,1612500,4837500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-06-2015,34094608,246,0,686280,0,0,2.58E+06,8385000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,17-07-2015,34094608,246,0,965350,0,0,1935000,7740000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-08-2015,64779752,468,0,6679301.8,0,0,1.29E+06,6772500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-09-2015,47732452,345,0,496134,0,0,1612500,8385000,0,0,High
ID-987275,Medium Facility,2800,125,1003,16-10-2015,51141912,369,0,1789290.2,0,0,1935000,10642500,0,0,High
ID-987275,Medium Facility,2800,125,1003,16-11-2015,47732452,345,0,1979543.7,0,0,967500,6772500,0,0,High
ID-987275,Medium Facility,2800,125,1003,17-12-2015,68189216,492,0,1234641.8,0,0,1.29E+06,6127500,0,0,High
ID-987278,Large Facility ,3160,120,1003,16-01-2014,0,0,0,0,0,0,1935000,322500,322500,0,Low
ID-987278,Large Facility ,3160,120,1003,16-02-2014,0,0,0,0,0,322500,2.58E+06,645000,1.29E+06,0,Low
ID-987278,Large Facility ,3160,120,1003,18-03-2014,0,0,0,0,0,645000,2257500,322500,645000,0,Low
ID-987278,Large Facility ,3160,120,1003,18-04-2014,0,0,0,0,0,322500,1935000,1612500,645000,0,Low
ID-987278,Large Facility ,3160,120,1003,19-05-2014,0,0,0,0,0,322500,3.87E+06,2257500,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-06-2014,0,0,711331.8,734268,0,0,2257500,4837500,0,0,Low
ID-987278,Large Facility ,3160,120,1003,17-07-2014,32389876,198,610170,1088437.5,0,0,1.29E+06,6127500,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-08-2014,68189216,492,305730,2431211.4,0,0,1.29E+06,4192500,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-09-2014,44322988,321,1670055.5,967500,0,0,967500,4837500,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-10-2014,47732452,345,204852,0,0,0,2257500,3.87E+06,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-11-2014,51141912,369,0,2762560.8,0,0,1.29E+06,6450000,0,0,Low
ID-987278,Large Facility ,3160,120,1003,17-12-2014,51141912,369,0,0,0,322500,2902500,6127500,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-01-2015,47732452,345,1386148,5198214.1,0,645000,7095000,4837500,322500,0,Low
ID-987278,Large Facility ,3160,120,1003,16-02-2015,64779752,468,0,0,0,645000,7095000,7095000,0,0,Low
ID-987278,Large Facility ,3160,120,1003,18-03-2015,71598676,516,296936.5,0,0,0,2257500,1935000,645000,0,Low
ID-987278,Large Facility ,3160,120,1003,18-04-2015,85236520,615,0,0,0,0,2257500,4192500,322500,0,Low
