"","1","2","3","4","5","6","7","8","9"
"1","NYA","NYN","ATL",NA,NA,NA,NA,NA,NA
"2","HOU","HOU","WAS","OAK","OAK",NA,NA,NA,NA
"3","LAA","LAA","LAN","NYN",NA,NA,NA,NA,NA
"4","CHA","CHA",NA,NA,NA,NA,NA,NA,NA
"5","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"6","KCA","SFN","SFN",NA,NA,NA,NA,NA,NA
"7","BAL","CLE","OAK",NA,NA,NA,NA,NA,NA
"8","BOS","BOS","BOS","NYA",NA,NA,NA,NA,NA
"9","MIN","MIN",NA,NA,NA,NA,NA,NA,NA
"10","SEA","SEA","SEA","SEA","SEA","NYA",NA,NA,NA
"11","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"12","COL","COL",NA,NA,NA,NA,NA,NA,NA
"13","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"14","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"15","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"16","SLN","SLN","SLN","SLN",NA,NA,NA,NA,NA
"17","SDN","TEX","TEX","PHI","PHI",NA,NA,NA,NA
"18","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"19","KCA","KCA","TEX","CIN",NA,NA,NA,NA,NA
"20","TEX","TEX",NA,NA,NA,NA,NA,NA,NA
"21","SFN","SFN","SFN",NA,NA,NA,NA,NA,NA
"22","SFN","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"23","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"24","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"25","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"26","MIN","TOR",NA,NA,NA,NA,NA,NA,NA
"27","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"28","BOS","BOS","ARI","CLE","HOU","CHA",NA,NA,NA
"29","DET","DET","DET","DET","DET",NA,NA,NA,NA
"30","CHN","CHN",NA,NA,NA,NA,NA,NA,NA
"31","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"32","COL",NA,NA,NA,NA,NA,NA,NA,NA
"33","ARI","OAK","OAK","TBA",NA,NA,NA,NA,NA
"34","CLE","CLE","CLE","CLE",NA,NA,NA,NA,NA
"35","SEA","SEA","SDN","SDN","CLE",NA,NA,NA,NA
"36","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"37","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"38","NYA","NYA",NA,NA,NA,NA,NA,NA,NA
