시점,계,교육서비스업
2013. 01,24287,1710
2013. 02,24215,1681
2013. 03,24736,1716
2013. 04,25322,1745
2013. 05,25610,1774
2013. 06,25686,1786
2013. 07,25681,1813
2013. 08,25513,1811
2013. 09,25701,1794
2013. 10,25798,1790
2013. 11,25795,1793
2013. 12,25248,1779
2014. 01,25050,1748
2014. 02,25116,1786
2014. 03,25463,1814
2014. 04,25985,1837
2014. 05,26112,1828
2014. 06,26178,1839
2014. 07,26280,1841
2014. 08,26183,1850
2014. 09,26213,1859
2014. 10,26247,1852
2014. 11,26260,1861
2014. 12,25679,1842
2015. 01,25392,1824
2015. 02,25471,1808
2015. 03,25766,1834
2015. 04,26153,1815
2015. 05,26431,1825
2015. 06,26440,1824
2015. 07,26538,1817
2015. 08,26369,1832
2015. 09,26487,1852
2015. 10,26519,1888
2015. 11,26469,1849
2015. 12,26098,1860
2016. 01,25646,1827
2016. 02,25615,1814
2016. 03,25980,1818
2016. 04,26325,1855
2016. 05,26613,1869
2016. 06,26718,1870
2016. 07,26765,1851
2016. 08,26696,1863
2016. 09,26697,1890
2016. 10,26746,1881
2016. 11,26762,1904
2016. 12,26347,1908
2017. 01,25878,1892
2017. 02,25979,1876
2017. 03,26443,1913
2017. 04,26744,1940
2017. 05,26992,1944
2017. 06,27020,1951
2017. 07,27078,1935
2017. 08,26904,1896
2017. 09,27011,1869
2017. 10,27026,1885
2017. 11,27019,1902
2017. 12,26604,1883
2018. 01,26213,1826
2018. 02,26083,1822
2018. 03,26555,1836
2018. 04,26868,1834
2018. 05,27064,1847
2018. 06,27126,1844
2018. 07,27083,1857
2018. 08,26907,1860
2018. 09,27055,1858
2018. 10,27090,1870
2018. 11,27184,1858
2018. 12,26638,1853
2019. 01,26232,1837
2019. 02,26346,1837
2019. 03,26805,1870
2019. 04,27038,1889
2019. 05,27322,1884
2019. 06,27408,1918
2019. 07,27383,1920
2019. 08,27358,1883
2019. 09,27404,1919
2019. 10,27509,1875
2019. 11,27515,1892
2019. 12,27154,1876
2020. 01,26800,1844
2020. 02,26838,1828
2020. 03,26609,1770
2020. 04,26562,1759
2020. 05,26930,1814
2020. 06,27055,1829
2020. 07,27106,1831
2020. 08,27085,1793
2020. 09,27012,1768
2020. 10,27088,1772
2020. 11,27241,1785
2020. 12,26526,1777
